Data As Of,Start Date,End Date,Group,State,Place of Death,COVID-19 Deaths
10/19/2022,01/01/2020,10/15/2022,By Total,United States,Total - All Places of Death,1060524
10/19/2022,01/01/2020,10/15/2022,By Total,United States,"Healthcare setting, inpatient",707112
10/19/2022,01/01/2020,10/15/2022,By Total,United States,"Healthcare setting, outpatient or emergency room",37797
10/19/2022,01/01/2020,10/15/2022,By Total,United States,"Healthcare setting, dead on arrival",1037
10/19/2022,01/01/2020,10/15/2022,By Total,United States,Decedent's home,101531
10/19/2022,01/01/2020,10/15/2022,By Total,United States,Hospice facility,35405
10/19/2022,01/01/2020,10/15/2022,By Total,United States,Nursing home/long term care facility,154525
10/19/2022,01/01/2020,10/15/2022,By Total,United States,Other,22995
10/19/2022,01/01/2020,10/15/2022,By Total,United States,Place of death unknown,122
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,Total - All Places of Death,20242
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,"Healthcare setting, inpatient",15373
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,"Healthcare setting, outpatient or emergency room",737
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,"Healthcare setting, dead on arrival",12
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,Decedent's home,1839
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,Hospice facility,255
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,Nursing home/long term care facility,1827
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,Other,199
10/19/2022,01/01/2020,10/15/2022,By Total,Alabama,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,Total - All Places of Death,1386
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,"Healthcare setting, inpatient",978
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,"Healthcare setting, outpatient or emergency room",54
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,"Healthcare setting, dead on arrival",0
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,Decedent's home,223
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,Hospice facility,0
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,Nursing home/long term care facility,96
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,Other,35
10/19/2022,01/01/2020,10/15/2022,By Total,Alaska,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,Total - All Places of Death,28358
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,"Healthcare setting, inpatient",19522
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,"Healthcare setting, outpatient or emergency room",873
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,"Healthcare setting, dead on arrival",
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,Decedent's home,3018
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,Hospice facility,1468
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,Nursing home/long term care facility,1785
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,Other,1686
10/19/2022,01/01/2020,10/15/2022,By Total,Arizona,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,Total - All Places of Death,11800
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,"Healthcare setting, inpatient",7776
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,"Healthcare setting, outpatient or emergency room",508
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,"Healthcare setting, dead on arrival",16
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,Decedent's home,970
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,Hospice facility,529
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,Nursing home/long term care facility,1858
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,Other,143
10/19/2022,01/01/2020,10/15/2022,By Total,Arkansas,Place of death unknown,0
10/19/2022,01/01/2020,10/15/2022,By Total,California,Total - All Places of Death,100960
10/19/2022,01/01/2020,10/15/2022,By Total,California,"Healthcare setting, inpatient",72334
10/19/2022,01/01/2020,10/15/2022,By Total,California,"Healthcare setting, outpatient or emergency room",3913
