Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,Total - All Places of Death,1050800,9109723,962238,535033,12348,1488543,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,"Healthcare setting, inpatient",702665,2870542,727939,439343,7842,998400,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,"Healthcare setting, outpatient or emergency room",37379,541420,28170,11982,571,54093,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,"Healthcare setting, dead on arrival",1028,24702,610,255,20,1403,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,Decedent's home,99703,3063800,70139,26526,2151,144537,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,Hospice facility,34636,555112,41733,16000,599,60926,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,Nursing home/long term care facility,152610,1411057,77693,34044,948,197143,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,Other,22657,641710,15862,6833,216,31876,
09/21/2022,01/01/2020,09/17/2022,By Total,,,United States,Place of death unknown,122,1380,92,50,1,165,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,Total - All Places of Death,20103,172107,14473,6966,205,27788,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,"Healthcare setting, inpatient",15291,56543,12125,6161,154,21385,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",733,12879,363,118,13,991,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,"Healthcare setting, dead on arrival",12,256,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,Decedent's home,1810,67716,795,306,23,2321,
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,Hospice facility,249,6399,420,110,,564,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/21/2022,01/01/2020,09/17/2022,By Total,,,Alabama,Nursing home/long term care facility,1815,18430,655,235,,2240,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
