Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,Total - All Places of Death,825094,6693827,743379,428187,9667,1148557,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,"Healthcare setting, inpatient",563203,2121016,565448,355147,6144,779225,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,"Healthcare setting, outpatient or emergency room",27817,397223,21351,9265,420,40302,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,"Healthcare setting, dead on arrival",786,18504,456,203,18,1057,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,Decedent's home,66600,2238432,50662,17953,1804,100242,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,Hospice facility,24008,404196,31177,11899,443,43710,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,Nursing home/long term care facility,126111,1052322,62409,28514,686,160652,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,Other,16459,461021,11799,5162,151,23225,
01/06/2022,01/01/2020,01/01/2022,By Total,,,United States,Place of death unknown,110,1113,77,44,1,144,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,Total - All Places of Death,16256,128078,11418,5740,175,22086,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,"Healthcare setting, inpatient",12688,42898,9673,5160,132,17312,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",578,9578,289,103,12,776,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,"Healthcare setting, dead on arrival",,181,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,Decedent's home,1191,49795,548,194,21,1565,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,Hospice facility,156,4695,294,64,,390,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,Nursing home/long term care facility,1493,13726,520,189,,1827,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,Other,141,7205,92,29,,206,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,Total - All Places of Death,1019,10437,919,608,11,1341,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,"Healthcare setting, inpatient",775,3618,749,539,,992,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,"Healthcare setting, outpatient or emergency room",28,644,17,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,Decedent's home,141,4247,101,44,,200,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,Hospice facility,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,Nursing home/long term care facility,60,968,34,13,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,Other,15,953,18,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Alaska,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,Total - All Places of Death,22700,157080,20654,13557,162,29952,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,"Healthcare setting, inpatient",15952,44808,15471,11177,115,20357,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,"Healthcare setting, outpatient or emergency room",669,8223,491,252,,913,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,"Healthcare setting, dead on arrival",,40,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,Decedent's home,2185,53216,1791,769,16,3223,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,Hospice facility,1165,12063,1081,448,18,1815,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,Nursing home/long term care facility,1274,12566,831,453,,1655,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,Other,1450,26164,987,457,,1983,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arizona,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,Total - All Places of Death,9230,76663,8543,4625,116,13253,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,"Healthcare setting, inpatient",6218,23961,6411,3754,73,8943,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,"Healthcare setting, outpatient or emergency room",362,5634,311,114,12,571,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,"Healthcare setting, dead on arrival",14,158,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,Decedent's home,643,24938,541,171,20,1030,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,Hospice facility,348,6865,522,179,,695,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,Nursing home/long term care facility,1539,10773,685,384,,1844,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,Other,106,4334,67,20,0,153,
01/06/2022,01/01/2020,01/01/2022,By Total,,,Arkansas,Place of death unknown,0,0,0,0,0,0,
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,Total - All Places of Death,80444,642800,81266,48186,870,114370,
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,"Healthcare setting, inpatient",58989,212292,65680,41217,721,84155,
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,"Healthcare setting, outpatient or emergency room",2937,36363,2553,1181,39,4346,
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,"Healthcare setting, dead on arrival",20,232,12,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,Decedent's home,7557,242669,5586,2147,65,11059,
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,Hospice facility,221,7693,327,100,,449,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2022,01/01/2020,01/01/2022,By Total,,,California,Nursing home/long term care facility,7731,73719,4963,2477,31,10247,
